row_id,order_id,order_date,ship_date,ship_mode,customer_id,customer_name,segment,country,city,state,postal_code,region,product_id,category,sub_category,product_name,sales,quantity,discount,profit,sales_value_tier,order_month,order_year
6,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-FU-10001487,FURNITURE,Furnishings,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7,0.0,14.17,Low,6,2014
7,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AR-10002833,OFFICE SUPPLIES,Art,Newell 322,7.28,4,0.0,1.97,Low,6,2014
8,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002275,TECHNOLOGY,Phones,Mitel 5320 IP Phone VoIP phone,907.15,6,0.2,90.72,High,6,2014
9,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-BI-10003910,OFFICE SUPPLIES,Binders,DXL Angle-View Binders with Locking Rings by Samsill,18.5,3,0.2,5.78,Low,6,2014
10,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,OFF-AP-10002892,OFFICE SUPPLIES,Appliances,Belkin F5C206VTEL 6 Outlet Surge,114.9,5,0.0,34.47,Low,6,2014
11,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,FUR-TA-10001539,FURNITURE,Tables,Chromcraft Rectangular Conference Tables,1706.18,9,0.2,85.31,High,6,2014
12,CA-2014-115812,2014-06-09,2014-06-14,Standard Class,BH-11710,Brosina Hoffman,Consumer,United States,Los Angeles,California,90032,West,TEC-PH-10002033,TECHNOLOGY,Phones,Konftel 250 Conference�phone�- Charcoal black,911.42,4,0.2,68.36,High,6,2014
17,CA-2014-105893,2014-11-11,2014-11-18,Standard Class,PK-19075,Pete Kriz,Consumer,United States,Madison,Wisconsin,53711,Central,OFF-ST-10004186,OFFICE SUPPLIES,Storage,"\"Stur-D-Stor Shelving, Vertical 5-Shelf: 72\"\"H x 36\"\"W x 18 1/2\"\"D\"",665.88,6,0.0,13.32,High,11,2014
18,CA-2014-167164,2014-05-13,2014-05-15,Second Class,AG-10270,Alejandro Grove,Consumer,United States,West Jordan,Utah,84084,West,OFF-ST-10000107,OFFICE SUPPLIES,Storage,Fellowes Super Stor/Drawer,55.5,2,0.0,9.99,Low,5,2014
19,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-AR-10003056,OFFICE SUPPLIES,Art,Newell 341,8.56,2,0.0,2.48,Low,8,2014
20,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,TEC-PH-10001949,TECHNOLOGY,Phones,Cisco SPA 501G IP Phone,213.48,3,0.2,16.01,Medium,8,2014
21,CA-2014-143336,2014-08-27,2014-09-01,Second Class,ZD-21925,Zuschuss Donatelli,Consumer,United States,San Francisco,California,94109,West,OFF-BI-10002215,OFFICE SUPPLIES,Binders,"Wilson Jones Hanging View Binder, White, 1\"\"",22.72,4,0.2,7.38,Low,8,2014
47,CA-2014-146703,2014-10-20,2014-10-25,Second Class,PO-18865,Patrick O'Donnell,Consumer,United States,Westland,Michigan,48185,Central,OFF-ST-10001713,OFFICE SUPPLIES,Storage,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4,0.0,8.48,Medium,10,2014
68,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,OFF-AR-10002671,OFFICE SUPPLIES,Art,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.02,8,0.2,111.3,High,12,2014
69,CA-2014-106376,2014-12-05,2014-12-10,Standard Class,BS-11590,Brendan Sweed,Corporate,United States,Gilbert,Arizona,85234,West,TEC-PH-10002726,TECHNOLOGY,Phones,netTALK DUO VoIP Telephone Service,167.97,4,0.2,62.99,Medium,12,2014
79,US-2014-147606,2014-11-26,2014-12-01,Second Class,JE-15745,Joel Eaton,Consumer,United States,Houston,Texas,77070,Central,FUR-FU-10003194,FURNITURE,Furnishings,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5,0.6,-14.48,Low,11,2014
82,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-AR-10002053,OFFICE SUPPLIES,Art,"Premium Writing Pencils, Soft, #2 by Central Association for the Blind",14.9,5,0.0,4.17,Low,10,2014
83,CA-2014-139451,2014-10-12,2014-10-16,Standard Class,DN-13690,Duane Noonan,Consumer,United States,San Francisco,California,94122,West,OFF-ST-10002370,OFFICE SUPPLIES,Storage,"Sortfiler Multipurpose Personal File Organizer, Black",21.39,1,0.0,6.2,Low,10,2014
114,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-FA-10000621,OFFICE SUPPLIES,Fasteners,"OIC Colored Binder Clips, Assorted Sizes",40.1,14,0.2,14.53,Low,8,2014
115,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002600,OFFICE SUPPLIES,Envelopes,"Redi-Strip #10 Envelopes, 4 1/8 x 9 1/2",4.72,2,0.2,1.65,Low,8,2014
116,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-PA-10004965,OFFICE SUPPLIES,Paper,Xerox 1921,23.98,3,0.2,7.49,Low,8,2014
117,CA-2014-115259,2014-08-25,2014-08-27,Second Class,RC-19960,Ryan Crowe,Consumer,United States,Columbus,Ohio,43229,East,OFF-EN-10002504,OFFICE SUPPLIES,Envelopes,"Tyvek  Top-Opening Peel & Seel Envelopes, Plain White",130.46,6,0.2,44.03,Low,8,2014
125,US-2014-152030,2014-12-26,2014-12-28,Second Class,AD-10180,Alan Dominguez,Home Office,United States,Houston,Texas,77041,Central,FUR-CH-10004063,FURNITURE,Chairs,Global Deluxe High-Back Manager's Chair,600.56,3,0.3,-8.58,High,12,2014
126,US-2014-134614,2014-09-20,2014-09-25,Standard Class,PF-19165,Philip Fox,Consumer,United States,Bloomington,Illinois,61701,Central,FUR-TA-10004534,FURNITURE,Tables,Bevis 44 x 96 Conference Tables,617.7,6,0.5,-407.68,High,9,2014
147,CA-2014-110072,2014-10-22,2014-10-28,Standard Class,MG-17680,Maureen Gastineau,Home Office,United States,Newark,Ohio,43055,East,FUR-FU-10000521,FURNITURE,Furnishings,"Seth Thomas 14\" Putty-Colored Wall Clock",93.89,4,0.2,12.91,Low,10,2014
158,CA-2014-104269,2014-03-01,2014-03-06,Second Class,DB-13060,Dave Brooks,Consumer,United States,Seattle,Washington,98115,West,FUR-CH-10004063,FURNITURE,Chairs,Global Deluxe High-Back Manager's Chair,457.57,2,0.2,51.48,Medium,3,2014
165,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10004441,OFFICE SUPPLIES,Art,BIC Brite Liner Highlighters,9.94,3,0.2,2.73,Low,9,2014
166,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,TEC-MA-10000822,TECHNOLOGY,Machines,Lexmark MX611dhe Monochrome Laser Printer,8159.95,8,0.4,-1359.99,High,9,2014
167,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-ST-10000991,OFFICE SUPPLIES,Storage,Space Solutions HD Industrial Steel Shelving.,275.93,3,0.2,-58.63,Medium,9,2014
168,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,FUR-CH-10004287,FURNITURE,Chairs,SAFCO Arco Folding Chair,1740.06,9,0.3,-24.86,High,9,2014
169,CA-2014-139892,2014-09-08,2014-09-12,Standard Class,BM-11140,Becky Martin,Consumer,United States,San Antonio,Texas,78207,Central,OFF-AR-10002656,OFFICE SUPPLIES,Art,Sanford Liquid Accent Highlighters,32.06,6,0.2,6.81,Low,9,2014
